No,학교명,본분교명,학교종류,학교유형,설립유형,지역명,"입학정원(학부)
(2025,명)","졸업생수(학부)
(2025,명)","전임교원수(학부+대학원)
(2025,명)","재학생(학부)
(2025,명)","신입생 경쟁률(학부)
(2025,:1)","신입생 충원율(학부)
(2025,%)","취업률(학부)
(2024,%)","외국인 학생 수(학부)
(2025,명)","전임교원 1인당 학생 수(학생정원기준)(학부+대학원)
(2025,명)","전임교원 확보율(학생정원기준)(학부+대학원)
(2025,%)","전임 교원 확보율(재학생 기준)(학부+대학원)
(2025,%)","전임교원 강의 담당 비율(학부)
(2025,%)","학생 1인당 연간 장학금(학부)
(2025,원)","연평균 등록금(학부)
(2025,천원)","학생 1인당 교육비(학부+대학원)
(2025,천원)","기숙사 수용율(학부+대학원)
(2024,%)","학생 1인당 도서 자료 수(학부+대학원)
(2024,권)"
107,농협대학교,본교,전문대학,전문대학,사립,경기,58,127,12,380,11.3,100.0,93.5,1,14.5,171.43,75.0,75.4,"2,882,101.2","4,982.7","39,525.9",57.3,122.1
108,단국대학교,본교,대학,대학교,사립,경기,"2,275","2,537",475,"11,372",14.9,99.6,62.5,956,30.24,73.53,67.19,56.3,"3,490,510.9","8,511.5","16,068.5",18.9,75.0
109,단국대학교,제2캠퍼스,대학,대학교,사립,충남,"2,391","2,511",528,"10,548",10.1,99.5,64.7,147,21.52,90.72,87.71,60.8,"3,825,756.2","8,658.6",0.0,20.4,0.0
110,대경대학교,본교,전문대학,전문대학,사립,경북,"1,422","1,267",95,"3,793",3.6,95.7,74.4,887,35.4,57.93,52.49,40.1,"4,862,672.7","6,389.5","13,024.6",28.6,45.9
111,대구가톨릭대학교,본교,대학,대학교,사립,경북,"2,508","2,450",533,"11,320",6.9,99.9,60.5,"1,178",23.86,88.1,82.13,66.2,"4,852,780.9","7,626.5","15,067.9",24.4,107.3
112,대구경북과학기술원,본교,대학,대학교,특별법법인,대구,200,179,146,921,28.5,96.5,54.1,15,15.45,128.07,120.66,77.0,"2,960,325.2","7,690.0","98,423.9",105.0,147.6
113,대구공업대학교,본교,전문대학,전문대학,사립,대구,530,483,33,"1,278",2.4,100.0,67.8,6,32.88,64.71,54.1,58.5,"5,887,962.9","5,858.2","11,563.5",67.1,89.5
114,대구과학대학교,본교,전문대학,전문대학,사립,대구,"1,539","1,533",121,"4,379",4.3,100.0,73.8,152,31.95,66.12,58.17,41.7,"5,476,055.1","6,114.8","13,039.9",13.6,39.6
115,대구교육대학교,본교,대학,교육대학,국립,대구,383,359,89,"1,514",5.8,99.7,62.8,2,32.38,72.95,78.07,66.2,"2,342,687.1","3,896.0","13,991.1",29.1,145.9
116,대구대학교,본교,대학,대학교,사립,경북,"3,850","4,020",499,"15,459",5.3,99.8,54.0,"1,660",35.27,62.85,63.65,76.3,"4,550,988.5","7,323.3","14,227.6",26.3,91.4
117,대구미래대학교,본교,전문대학,전문대학,사립,경북,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,대구보건대학교,본교,전문대학,전문대학,사립,대구,"2,120","2,262",180,"6,580",7.0,96.7,76.8,22,33.29,60.4,55.21,54.0,"4,394,799.6","6,600.3","12,393.8",10.0,41.3
